season,season_type,player_id,player_name,position,position_group,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2024,REG,00-0035704,D.Lock,QB,QB,107,181,1071,6,5,12,88,4,2,1107,611,45,-42.72244681,1,0.967479675,-0.006313268,18,133,2,1,0,9,12.07543707,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,80.14,80.14
2024,REG,00-0035710,D.Jones,QB,QB,216,341,2070,8,7,29,172,4,2,2509,944,106,-33.38181234,0,0.825029892,0.052997936,67,265,2,0,0,26,8.926219049,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,135.3,135.3
2024,REG,00-0035719,D.Samuel,WR,WR,0,0,0,0,0,1,4,0,0,0,0,0,-2.089831991,0,,,42,136,1,0,0,5,-9.080931046,0,51,81,670,3,0,0,551,421,28,11.07118574,0,1.215970962,0.197560976,0.158835399,0.407526243,0,104.6,155.6
2024,REG,00-0035795,J.Pierre,CB,DB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,14,0,0,-2.67772019,0,0,0.038461538,0.042682927,0.087570356,0,0,0
2024,REG,00-0035806,J.Hasty,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,20,69,0,0,0,4,-1.012693704,0,10,12,59,1,0,0,-2,72,2,0.584838463,0,-29.5,0.060606061,-0.001574803,0.089806729,0,18.8,28.8
2024,REG,00-0035860,T.Jones,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,4,55,1,0,0,1,2.864257527,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,11.5,11.5
2024,REG,00-0035891,C.White,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,3,44,0,0,0,40,13,2,2.547461476,0,1.1,0.088235294,0.114613181,0.212582168,0,4.4,6.4
2024,REG,00-0035924,J.Ward,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,5,22,0,0,0,1,0.204633341,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,2.2,2.2
2024,REG,00-0035973,P.Taylor,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,39,183,1,0,0,11,2.13986833,0,3,11,25,0,0,0,39,19,2,-10.15694192,0,0.641025641,0.083333333,0.054929577,0.163450704,0,26.8,29.8
2024,REG,00-0035976,D.Chisena,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,4,37,0,0,0,30,9,2,2.039961123,0,1.233333333,0.045977011,0.035046729,0.093498228,0,3.7,6.7
