season,team,player_id
2023,ATL,00-0032065
2023,NE,00-0032071
2023,HOU,00-0032103
2023,LV,00-0032104
2023,JAX,00-0032107
2023,PIT,00-0032109
2023,PIT,00-0032127
2023,SF,00-0032128
2023,MIN,00-0032129
2023,NO,00-0032132
2023,NYJ,00-0032134
2023,LV,00-0032135
2023,ARI,00-0032141
2023,KC,00-0032143
2023,BAL,00-0032144
2023,NO,00-0032145
2023,ATL,00-0032146
2023,HOU,00-0032150
2023,SF,00-0032151
2023,NYJ,00-0032156
2023,SF,00-0032162
2023,SF,00-0032164
2023,LV,00-0032165
2023,BAL,00-0032195
2023,SF,00-0032197
2023,NE,00-0032200
2023,NO,00-0032203
2023,DEN,00-0032208
2023,SEA,00-0032210
2023,SEA,00-0032211
2023,MIA,00-0032214
2023,DAL,00-0032215
2023,KC,00-0032217
2023,ARI,00-0032222
2023,NE,00-0032228
2023,NYJ,00-0032233
2023,NYJ,00-0032234
2023,LA,00-0032242
2023,SEA,00-0032245
2023,SEA,00-0032265
2023,PHI,00-0032268
2023,CAR,00-0032269
2023,SF,00-0032320
2023,BUF,00-0032366
2023,IND,00-0032378
2023,MIA,00-0032379
2023,HOU,00-0032380
2023,DET,00-0032381
2023,PIT,00-0032382
2023,IND,00-0032383
2023,BUF,00-0032384
2023,NYG,00-0032385
2023,SEA,00-0032387
2023,CAR,00-0032388
2023,KC,00-0032391
2023,LV,00-0032392
2023,LAC,00-0032394
2023,DET,00-0032395
2023,TEN,00-0032398
2023,PIT,00-0032399
2023,GB,00-0032401
2023,HOU,00-0032402
2023,PIT,00-0032408
2023,MIN,00-0032412
2023,NE,00-0032415
2023,NYJ,00-0032416
2023,BUF,00-0032420
2023,CIN,00-0032424
2023,NYJ,00-0032432
2023,SF,00-0032434
2023,CLE,00-0032436
2023,CAR,00-0032437
2023,PIT,00-0032442
2023,SEA,00-0032443
2023,CIN,00-0032445
2023,DEN,00-0032450
2023,DAL,00-0032454
2023,TEN,00-0032463
2023,DET,00-0032464
2023,HOU,00-0032466
2023,CAR,00-0032496
2023,BUF,00-0032497
2023,CIN,00-0032521
2023,CLE,00-0032528
2023,LAC,00-0032543
2023,TEN,00-0032566
2023,DEN,00-0032569
2023,BAL,00-0032574
2023,MIA,00-0032575
2023,NE,00-0032580
2023,BAL,00-0032637
2023,DET,00-0032655
2023,JAX,00-0032667
2023,LAC,00-0032671
2023,HOU,00-0032677
2023,MIA,00-0032688
2023,SF,00-0032701
2023,LAC,00-0032725
2023,HOU,00-0032726
2023,IND,00-0032753
2023,HOU,00-0032759
2023,KC,00-0032762
2023,LAC,00-0032763
2023,TEN,00-0032764
2023,NO,00-0032765
2023,CHI,00-0032768
2023,PIT,00-0032773
2023,KC,00-0032774
2023,LA,00-0032775
2023,DET,00-0032785
2023,HOU,00-0032790
2023,CLE,00-0032791
2023,DET,00-0032792
2023,NE,00-0032803
2023,NYG,00-0032889
2023,PHI,00-0032890
2023,BAL,00-0032891
2023,MIN,00-0032892
2023,MIN,00-0032918
2023,ARI,00-0032933
2023,CAR,00-0032939
2023,BAL,00-0032942
2023,DEN,00-0032943
2023,LA,00-0032950
2023,BAL,00-0032951
2023,PIT,00-0032954
2023,BAL,00-0032965
2023,NYG,00-0032967
2023,PIT,00-0032968
2023,DEN,00-0032971
2023,WAS,00-0032975
2023,NO,00-0032986
2023,IND,00-0033006
2023,CIN,00-0033009
2023,MIN,00-0033010
2023,NYJ,00-0033011
2023,HOU,00-0033038
2023,MIA,00-0033040
2023,NE,00-0033045
2023,NYG,00-0033046
2023,NYJ,00-0033047
2023,MIA,00-0033050
2023,ATL,00-0033051
2023,PIT,00-0033052
2023,MIA,00-0033055
2023,CLE,00-0033057
2023,NO,00-0033063
2023,JAX,00-0033064
2023,PHI,00-0033065
2023,CHI,00-0033066
2023,BUF,00-0033072
2023,MIA,00-0033073
2023,DAL,00-0033077
2023,CHI,00-0033082
2023,WAS,00-0033084
2023,NE,00-0033090
2023,MIN,00-0033093
2023,BUF,00-0033096
2023,SEA,00-0033103
2023,DET,00-0033106
2023,SF,00-0033109
2023,LA,00-0033110
2023,GB,00-0033118
2023,WAS,00-0033119
2023,GB,00-0033120
2023,CHI,00-0033123
2023,HOU,00-0033131
2023,PHI,00-0033132
2023,LAC,00-0033156
2023,TB,00-0033196
2023,SF,00-0033199
2023,IND,00-0033217
2023,TEN,00-0033221
2023,MIN,00-0033246
2023,ARI,00-0033251
2023,DET,00-0033258
2023,NYJ,00-0033260
2023,IND,00-0033269
2023,CLE,00-0033275
2023,SF,00-0033280
2023,BAL,00-0033281
2023,WAS,00-0033282
2023,BAL,00-0033283
2023,CAR,00-0033284
2023,SF,00-0033288
2023,LV,00-0033290
2023,CHI,00-0033292
2023,GB,00-0033293
2023,NYJ,00-0033294
2023,WAS,00-0033296
2023,DEN,00-0033297
2023,NYJ,00-0033298
2023,NE,00-0033300
2023,CHI,00-0033302
2023,KC,00-0033303
2023,NE,00-0033307
2023,NYG,00-0033308
2023,MIN,00-0033319
2023,CHI,00-0033326
2023,GB,00-0033336
2023,CIN,00-0033347
2023,NO,00-0033357
2023,DAL,00-0033359
2023,DEN,00-0033375
2023,BAL,00-0033376
2023,LV,00-0033381
2023,LV,00-0033387
2023,IND,00-0033393
2023,BUF,00-0033400
2023,CAR,00-0033430
2023,NE,00-0033435
2023,NE,00-0033439
2023,PHI,00-0033445
2023,DET,00-0033455
2023,KC,00-0033460
2023,NE,00-0033461
2023,NYJ,00-0033463
2023,IND,00-0033466
2023,CHI,00-0033471
2023,WAS,00-0033481
2023,BAL,00-0033503
2023,LAC,00-0033505
2023,NYG,00-0033511
2023,PIT,00-0033512
2023,WAS,00-0033523
2023,DEN,00-0033526
2023,LAC,00-0033536
2023,CLE,00-0033537
2023,DEN,00-0033538
