season,season_type,player_id,player_name,player_display_name,position,position_group,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2024,POST,00-0034159,W.Dissly,Will Dissly,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,5,16,0,0,0,31,14,0,-8.747309146,0,0.516129032,0.15625,0.07654321,0.287955247,0,1.6,3.6
2024,POST,00-0034184,G.Edwards,Gus Edwards,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,7,22,0,0,0,1,-1.928428051,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,2.2,2.2
2024,POST,00-0034348,C.Sutton,Courtland Sutton,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,5,9,75,0,0,0,157,12,4,-0.820124312,0,0.477707006,0.391304348,0.570909091,0.986592885,0,7.5,12.5
2024,POST,00-0034351,D.Goedert,Dallas Goedert,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,13,0,0,0,0,0.98547758,0,17,20,215,1,0,0,115,129,9,13.22211353,0,1.869565217,0.235294118,0.194915254,0.489381854,0,28.8,45.8
2024,POST,00-0034353,A.Miller,Anthony Miller,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,4,28,0,0,0,15,13,1,1.551442428,0,1.866666667,0.090909091,0.040214477,0.16451377,0,2.8,6.8
2024,POST,00-0034383,D.Schultz,Dalton Schultz,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,6,8,86,0,0,0,93,23,4,4.165656471,0,0.924731183,0.133333333,0.160344828,0.312241379,0,8.6,14.6
2024,POST,00-0034386,J.Watson,Justin Watson,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,2,,,,,0,4,4
2024,POST,00-0034487,T.Sherfield,Trent Sherfield,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,3,8,0,0,0,22,2,0,-3.506559047,0,0.363636364,0.075,0.052380952,0.149166667,0,0.8,2.8
2024,POST,00-0034753,M.Andrews,Mark Andrews,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,4,8,0,0,0,4,3.015917675,0,7,10,88,0,1,1,81,32,5,0.989008558,0,1.086419753,0.227272727,0.217158177,0.492919815,0,7.6,14.6
2024,POST,00-0034777,D.Chark,D.J. Chark,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,4,10,0,0,0,69,6,0,-4.793533472,0,0.144927536,0.125,0.17037037,0.306759259,0,1,2
